,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Conf_95_PosAng,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,CLASS1,ASSOC1,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56,agnness,PSRness
4828,4FGL J2236.3+2828 ,339.0962,28.4832,90.11948,-25.649616,2.29728,2.1601536,1.9470601,5.9600935,-13.54,75.08993,-24.616545,-24.499617,-24.539886,-27.54479,2.1615818,2.1548855,fsrq,B2 2234+28A                 ,-0.043589660663268026,-0.10071394735965973,-0.3318450140723213,-0.5002301973673678,-0.31425176135227173,-0.04199598133023226,-0.10229406669512366,-0.33042345506711895,-0.5014263315632576,-0.3128121088877932,-0.03983695787997976,-0.10443361608995799,-0.3284955908741982,-0.5030434632715914,-0.3108597370412855,AGN,Non-PSR
4829,4FGL J2236.4-2309 ,339.1246,-23.1552,32.785168,-59.29519,2.7828505,2.7154024,2.4538555,3.0258257,54.14,14.503392,-25.687368,-25.597307,-25.60141,-28.282923,0.29314548,0.5388844,bcu,PMN J2236-2309              ,-0.18855358942242736,-0.47829603505973667,-0.5340276813903124,-0.9999994043884218,0.9990315970622954,-0.18753915919796743,-0.47910666112966815,-0.5332755490553645,-0.9999994056398234,0.9990336306844604,-0.18389766542560784,-0.48200726563349083,-0.5305711316938859,-0.9999994101062682,0.9990408893402826,AGN,Non-PSR
4830,4FGL J2236.5-1433 ,339.1444,-14.5557,47.88109,-56.21569,2.145998,2.0512698,1.9678515,7.336215,-76.01,98.126526,-24.665934,-24.594767,-24.630121,-27.161957,1.8973416,1.8984014,BLL,PKS 2233-148                ,0.02359427004989247,-0.042919858494215875,-0.1304829496682768,-0.21604037508788254,-0.465716749125137,0.024592393936782413,-0.043916672930027656,-0.12950108502793783,-0.21699228452055827,-0.4649342792690313,0.025406434504101287,-0.04472961447113355,-0.12870012957946725,-0.21776833343019583,-0.464295580008269,AGN,Non-PSR
4831,4FGL J2236.6+3706 ,339.1608,37.1028,95.13651,-18.389242,1.820517,1.7995116,1.4625593,2.9668953,37.9,5.4892635,-33.539494,-33.510334,-33.435596,-28.498161,-2.0882351,-0.33856124,bcu,NVSS J223626+370713         ,-0.3545620727829553,-0.35942025563201085,0.15499476406775245,0.3028157450380316,0.30522262552083507,-0.3544158701351457,-0.35956587073963237,0.1551579913533197,0.3026638325191369,0.3053743047593353,-0.3525699181821808,-0.3614012921522277,0.15721605644743214,0.30074632745106583,0.3072858814715304,AGN,Non-PSR
4833,4FGL J2237.0-3921 ,339.2686,-39.357,0.60736054,-59.586624,2.3403933,2.260688,2.0814173,5.054322,4.32,15.992268,-28.184177,-28.05711,-28.100616,-28.380981,0.7270442,0.60475093,fsrq,NVSS J223708-392137         ,-0.06655342047706184,-0.17514504822491936,-0.25002173190692145,-0.9999999613098208,0.9999999524571125,-0.06558246687433719,-0.17609018200779736,-0.24910727496783164,-0.9999999613852092,0.9999999525497536,-0.06359026489265412,-0.17802804570495478,-0.24722992090040666,-0.9999999615394015,0.9999999527392263,AGN,Non-PSR
4836,4FGL J2238.5+5903 ,339.6277,59.0563,106.56408,0.47540694,2.3905225,2.4701262,1.5167503,2.374756,-45.2,56.87401,-26.521433,-26.219616,-26.218014,-26.85483,2.7632031,2.7628684,PSR,PSR J2238+5903              ,0.25513784842612514,-0.058748009433384,-0.4024452868371137,-0.733029407541009,-0.9997955079901716,0.25415039424766556,-0.05769570809302235,-0.4033297785430024,-0.7325404886648736,-0.9997959393366564,0.26263583049601447,-0.06675302043822506,-0.3956885301392156,-0.7367258644982152,-0.9997921948952645,Non-AGN,PSR
4837,4FGL J2239.2-5657 ,339.8073,-56.951,331.8882,-52.094418,2.303432,2.0902326,1.5571756,1.99604,62.37,4.3981686,-30.351494,-30.109797,-30.146475,-28.741348,0.3751031,0.44744563,fsrq,PKS 2236-572                ,0.7711776956913359,-0.12294558141792891,-0.04087503022623874,-0.7563590490258136,-0.9871001869616876,0.7721587301616101,-0.12533331172762865,-0.03845377073300045,-0.757394899357367,-0.9870378747249908,0.7738879085235697,-0.1295603210447429,-0.03416264477584972,-0.7592209061323473,-0.986926734007166,AGN,Non-PSR
4838,4FGL J2239.4+5130 ,339.8719,51.5064,103.00204,-6.18626,2.646016,2.374809,1.9179536,2.408365,65.88,6.9821386,-27.473953,-27.289799,-27.316593,-27.92551,0.6051607,0.8005553,bcu,LQAC 340+051                ,0.2687896163537773,-0.14080863902692378,-0.6599158608326615,-0.9999999999991912,0.9999999271085555,0.2722755962145963,-0.14449338722360014,-0.6577872854502967,-0.9999999999991975,0.9999999276548347,0.2768932683573593,-0.14937978443885966,-0.654944665374393,-0.9999999999992053,0.9999999283738502,AGN,Non-PSR
4840,4FGL J2240.3-1246 ,340.087,-12.7769,51.47592,-56.164474,1.8331124,1.8622601,1.7187579,1.7023361,54.66,4.9537864,-33.64121,-33.687057,-33.607185,-28.52554,-1.5523809,-1.2671417,bcu,1RXS J224014.7-124736       ,0.9999872801094631,-0.5805845398941563,0.39817754542756534,0.13879831853637395,0.2919512526199596,0.9999872739501721,-0.5804240453101462,0.39797382441323353,0.1390356870824729,0.2917298584067548,0.9999873023150767,-0.5811633928365374,0.39891241675828476,0.1379413912402067,0.2927502199523916,AGN,Non-PSR
4841,4FGL J2240.6+5833 ,340.1669,58.5519,106.56419,-0.10114801,2.4452229,2.4580536,1.3682793,1.1787754,-33.51,13.464473,-28.68524,-28.380491,-28.377506,-27.356266,1.5418019,1.5596646,PSR,PSR J2240+5832              ,0.305851173288518,0.06701547553258144,-0.31555836420021754,-0.8930475358701877,-0.9971004594874285,0.30569495993938045,0.06718703148556432,-0.3157135498451076,-0.8930126341087103,-0.9971014573000937,0.3143608473506907,0.05763699735766954,-0.3070557701107177,-0.8949378334358837,-0.9970454243511967,Non-AGN,PSR
4842,4FGL J2240.7-4746 ,340.1865,-47.7736,345.0642,-57.260315,2.0467567,2.0315065,2.0263262,2.2521758,-5.9,8.019785,-31.179562,-31.152113,-31.170042,-28.65032,-1.5687019,-1.9526284,bcu,SUMSS J224042-474733        ,-0.5305811038304546,0.49434773370547336,-0.18576629883409312,-0.03172472603191935,0.12430212462898615,-0.5304711728434448,0.49423213451329606,-0.18561858789388966,-0.031877599492518977,0.12445273984593751,-0.530434238484003,0.49419326489323673,-0.18556896193213904,-0.03192888705286059,0.12450332128829694,AGN,Non-PSR
4844,4FGL J2241.2+4120 ,340.3087,41.3396,98.18576,-15.192176,2.2181547,2.1911042,2.0400577,2.716696,-18.03,10.3541975,-30.47342,-30.425823,-30.412586,-27.793802,-0.6114373,-0.097985506,bll,B3 2238+410                 ,0.9545385116731299,-0.2054686818570553,-0.03463014970780714,0.057936571141954385,-0.2915153690661912,0.9545660220534536,-0.2057652856047226,-0.0343207898761085,0.0576278350056813,-0.2912319200767341,0.9547091611867714,-0.20731079181290582,-0.0327082368347369,0.056018732571825144,-0.28975381721700216,AGN,Non-PSR
4845,4FGL J2241.3+2943 ,340.3419,29.7212,91.87321,-25.193033,1.802189,1.8844845,1.98056,2.739762,-72.33,6.9233136,-33.631092,-33.965893,-33.71493,-28.41622,0.71255887,-0.3381906,bcu,1RXS J224123.5+294244       ,0.3595386486645518,-0.02656188884589278,-0.7871218642239751,0.762757370499,0.6864865576889438,0.3589463960889822,-0.025882344809398345,-0.7873804301852423,0.7630416061734088,0.6861268539737368,0.35818638060439917,-0.025010817726686865,-0.7877116268105759,0.7634057030181954,0.6856650257790461,AGN,Non-PSR
