,GLON,GLAT,proba_BLL,proba_FSRQ,label
216,169.2314,19.763712,0.8975724099323901,0.10242759006760992,Otherlike
219,192.67618,11.909176,0.6338916727225371,0.3661083272774629,Otherlike
221,253.38666,-16.640936,0.6425428760632965,0.35745712393670354,Otherlike
224,239.86798,-10.639282,0.8933570539704023,0.10664294602959773,Otherlike
225,258.85324,-17.953684,0.8886073398612617,0.11139266013873823,Otherlike
228,224.34828,-0.9154729,0.2959916493667649,0.7040083506332351,Otherlike
230,267.394,-19.580902,0.8459751558608395,0.15402484413916048,Otherlike
232,225.89723,0.082016274,0.5826093211799102,0.4173906788200898,Otherlike
234,240.25613,-5.6680064,0.5772174606824114,0.42278253931758863,Otherlike
235,237.01022000000003,-3.8848023,0.6387188023792746,0.3612811976207254,Otherlike
237,188.3197,19.96273,0.8519331435124294,0.1480668564875706,Otherlike
241,234.48068,-0.18879208,0.6029197019565788,0.3970802980434211,Otherlike
243,246.78596,-5.5748053,0.19840944420778894,0.8015905557922111,Otherlike
244,150.58449,29.251331,0.8867582200605438,0.11324177993945618,Otherlike
245,206.21571,16.329153,0.5421699177069603,0.45783008229303973,Otherlike
246,265.0527,-14.173656,0.8269520796011243,0.1730479203988758,Otherlike
247,241.35329,-0.7392291,0.5076016614131924,0.49239833858680754,Otherlike
248,231.51855,5.0073667,0.8326775992100897,0.1673224007899104,Otherlike
253,245.78331,-1.2766964,0.7503992742913933,0.24960072570860672,Otherlike
255,225.1809,11.78536,0.568727421581464,0.43127257841853595,Otherlike
257,269.20282000000003,-13.125257500000002,0.8514783762916042,0.14852162370839583,Otherlike
259,230.85431,9.989528,0.8748610842037248,0.12513891579627517,Otherlike
261,226.7848,12.45487,0.7217791438830681,0.278220856116932,Otherlike
262,269.94894,-13.209603,0.8933497071650182,0.10665029283498183,Otherlike
263,201.26338,24.7862,0.42904036666272793,0.5709596333372721,Otherlike
264,217.36238,19.757648,0.3853839574896102,0.6146160425103898,Otherlike
265,266.10226,-9.048006,0.5125651507249684,0.48743484927503156,Otherlike
267,268.33167000000003,-9.613656,0.5100331321527556,0.48996686784724436,Otherlike
270,226.04726,19.963022,0.8794095943214508,0.12059040567854915,Otherlike
271,267.3068,-7.3856899999999985,0.8429694239273194,0.15703057607268053,Otherlike
273,225.36038,20.770304,0.8344854470810341,0.16551455291896594,Otherlike
274,184.4443,34.75334,0.2771519497048507,0.7228480502951493,Otherlike
275,271.53683,-8.517889,0.5571829307368199,0.4428170692631801,Otherlike
277,259.66876,0.8665959999999999,0.7093471291144449,0.2906528708855551,Otherlike
281,263.19238,-0.52896965,0.8884612218179453,0.11153877818205471,Otherlike
282,261.5513,0.97270805,0.6702896909251824,0.3297103090748176,Otherlike
284,197.9949,36.754482,0.6689283110570626,0.33107168894293737,Otherlike
285,250.1726,11.386075,0.6984657644433436,0.30153423555665637,Otherlike
286,263.30222000000003,0.96051556,0.745019461206505,0.254980538793495,Otherlike
287,264.69806,0.35195622,0.4335393209234978,0.5664606790765022,Otherlike
288,263.97552,1.0717627,0.8067965959777361,0.19320340402226394,Otherlike
289,265.60712,-0.033795353,0.872745850843558,0.12725414915644195,Otherlike
290,220.85693,30.773088,0.7796304530124447,0.2203695469875553,Otherlike
292,265.97812000000005,0.3271905,0.7864262934834858,0.21357370651651422,Otherlike
293,267.9374,-1.0268956,0.7467188513532461,0.2532811486467539,Otherlike
294,265.09625,1.4603136,0.7042052786092752,0.29579472139072477,Otherlike
296,267.02725,-0.010822312,0.5842776395022609,0.4157223604977392,Otherlike
300,248.87865,17.182617,0.5520926305286811,0.4479073694713189,Otherlike
306,270.39236,0.98678577,0.3487467575712583,0.6512532424287417,Otherlike
309,274.01495,-1.2133914,0.713920053074983,0.2860799469250171,Otherlike
315,139.73366,37.62069,0.49058489437245867,0.5094151056275413,Otherlike
316,224.71835,40.384018,0.27033127489906117,0.7296687251009388,Otherlike
318,263.2607,13.574516,0.8789827593924606,0.12101724060753936,Otherlike
320,292.2483,-17.449461,0.8216244481905091,0.178375551809491,Otherlike
321,135.28877,35.86357,0.8274771524075234,0.17252284759247657,Otherlike
323,265.98535,13.512757999999998,0.205969594619119,0.794030405380881,Otherlike
324,270.61093,8.497749,0.7172013343111328,0.2827986656888672,Otherlike
325,268.28857,11.236651,0.6064216035579717,0.39357839644202824,Otherlike
327,267.66602,13.0879345,0.40472638998748256,0.5952736100125174,Otherlike
329,269.93344,11.513521,0.42726431098739615,0.5727356890126039,Otherlike
330,270.82886,10.560398,0.43798244241538287,0.5620175575846171,Otherlike
331,264.38513,18.707705,0.7259322455276227,0.2740677544723773,Otherlike
333,263.3645,21.42083,0.5411454013368444,0.45885459866315564,Otherlike
335,250.49252,35.74724600000001,0.45261220846842565,0.5473877915315744,Otherlike
339,284.8662,-3.2181122,0.5689971380878694,0.43100286191213055,Otherlike
341,283.25348,-0.68280596,0.8565783236209352,0.14342167637906483,Otherlike
343,274.12558,13.289148,0.46097860102976107,0.5390213989702389,Otherlike
344,265.6098,24.457577,0.7280570530142352,0.2719429469857648,Otherlike
346,250.02695,39.599792,0.590791694661938,0.40920830533806196,Otherlike
348,155.04593,50.148857,0.8845617326688502,0.11543826733114984,Otherlike
351,284.4052,0.022287028,0.76779742141909,0.23220257858090998,Otherlike
352,272.90482000000003,18.53579,0.749396655308298,0.250603344691702,Otherlike
356,147.6155,48.522575,0.6506862873751498,0.3493137126248502,Otherlike
357,263.33966000000004,34.148827000000004,0.49484647505915036,0.5051535249408496,Otherlike
359,286.06104,0.24389318,0.7813145200443238,0.21868547995567622,Otherlike
360,193.23775,60.9287,0.7887713483021231,0.21122865169787686,Otherlike
361,156.31331,54.718025,0.45270811677131295,0.547291883228687,Otherlike
362,288.00613,-0.9672107,0.40316452442410333,0.5968354755758967,Otherlike
363,139.11755,45.355637,0.8683308543691214,0.13166914563087861,Otherlike
365,287.85458,-0.16667179999999998,0.5036764546903987,0.4963235453096013,Otherlike
368,259.60846000000004,45.586567,0.8662203587759912,0.13377964122400876,Otherlike
