,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56,PSRness
3497,0.5409188,-0.36237258,1.2706661,0.20848948,0.83028996,0.42876586,-0.6116252,0.9083156,-0.21808596,0.5115269,0.7141127,0.71426266,0.33350956,0.5680773,0.57066804,0.7709016551185329,-0.28471521082009177,-0.465590344912198,-1.0343970478015065,1.7227341600047605,0.7721024127809937,-0.2880660492190972,-0.4625661717398317,-1.034040580552876,1.7229749825063794,0.7778589356581063,-0.3011669396401656,-0.450606597168715,-1.0308418969390865,1.7217784741104998,Non-PSR
3500,0.5428181,-0.7471348,1.1772299,-0.119984664,0.26503834,0.5398502,1.0177394,-0.1595163,-0.39139608,-0.3939367,-0.46838015,-0.46497408,1.0070589,-0.30694765,-0.43865874,1.3886634419881225,-0.9039421147891543,-0.35659026997313076,0.9823062816513449,-0.8745879962407017,1.3882007311695073,-0.901902739783676,-0.359936858712751,0.9844779934942958,-0.874626223349414,1.38466196373948,-0.8973832285648468,-0.3611190674762417,0.9812661740217272,-0.875835652604859,Non-PSR
3505,0.5442903,0.59104604,-1.2819103,0.93434286,-0.15097181,-0.5748534,-0.33342516,-0.12169638,1.5468541,0.96911323,0.9411181,0.93387014,-0.3361686,0.97454685,0.9585201,0.11487757859763521,0.057144726644388744,-0.27797349047517805,-0.12887499765398308,-0.8684870787711686,0.11941622504437052,0.05045037111977127,-0.2712758990469696,-0.13316103090695217,-0.8684838061431841,0.12201877937735946,0.048480532308440814,-0.2696105732135284,-0.13634824145354857,-0.8696314148369639,Non-PSR
3507,0.5463384,-0.9822518,1.1198947,-0.321526,0.42467165,-0.40838462,-0.89913905,0.58335537,0.68617564,0.8489126,0.84559685,0.8502894,-0.18802042,0.82707995,0.831551,0.007929991740663788,0.4473869259989667,-0.5975247612423954,-0.6658087951708476,-0.8729218033721752,0.014684041367192252,0.4384264841096814,-0.5885788380138937,-0.6685020989096677,-0.872943075720264,0.01792663483804034,0.4349060577445596,-0.5883276366613218,-0.6686380072579582,-0.8741340099485676,Non-PSR
3508,0.5464035,1.0712435,-1.1329694,1.1978749,1.5975956,1.3702631,1.9071544,0.70724267,-0.557527,1.2024907,0.93521565,1.0085368,-0.57890534,-0.6812138,-1.2792367,-1.3782599693840185,-0.7668758096671331,0.006178229929232754,-1.0106147625825366,-0.8518326320039867,-1.380520808049569,-0.764204302754372,0.0017127804304923895,-1.0102054364891635,-0.8519201820536747,-1.3891110380367202,-0.7513285832772225,-0.008351384056680174,-1.0069819567322555,-0.8531361892829852,Non-PSR
3509,0.5464561,0.7057563,-1.2474372,1.0008514,-0.00498644,0.20538653,1.2693795,0.012222927,-0.5608499,-0.3084653,-0.4620573,-0.4466488,-0.16130818,-4.3209558,-2.9156556,1.3863039831856743,-0.025028159939215724,-0.1423944012644475,0.9719500909758757,0.4928176182973499,1.3858408299891158,-0.023690928825082457,-0.143803461790348,0.9722154509216113,0.4927788368582626,1.382298409149635,-0.012697920088953105,-0.15433061936293158,0.9774079611236641,0.4908692840030667,Non-PSR
3511,0.5472855,-0.62478566,1.2085357,-0.026875151,0.3512464,0.32796988,0.31347895,0.12036454,0.28225842,0.51364434,0.48301962,0.4930164,1.2087711,0.57206714,0.58509594,0.45827189090817494,-0.7406878316097062,0.7766829641080129,-1.0347831138595438,1.815803087629444,0.45838816879843597,-0.7416741855342077,0.7755827363613653,-1.034425255835193,1.8157232125958653,0.4637711873518956,-0.7458573813147644,0.7887950603976517,-1.0312190813805546,1.8126167714866657,Non-PSR
3512,0.5483599,-0.43605113,1.2551256,0.1286088,0.38655132,0.40153804,-0.2653452,-0.38729241,-0.08304514,0.107440926,0.10353811,0.14462675,1.2031051,0.27744463,0.3964114,-0.7670559662138188,-0.141207679384863,0.4438512401247073,-1.0347857768215145,1.8158728074170227,-0.7675282708706557,-0.14073002560666634,0.4424015525809725,-1.0344279152044211,1.8157928493011695,-0.75881624928449,-0.1538486741158451,0.46072973315313037,-1.0312217054107669,1.812685277608879,Non-PSR
3515,0.54998314,-0.4231244,1.2588452,0.13546535,0.38459837,-0.4769521,-1.5924698,0.5070502,-0.5803623,-0.3272185,-0.09950256,-0.12798528,-0.48881054,0.62475204,0.65139365,0.7388226647620996,1.4146913418426208,0.8584434193604155,-1.0347853066599726,1.8145766256186382,0.7431713660467612,1.4099991756002948,0.868749458204018,-1.0344274560070317,1.8145088630375612,0.7408913527132146,1.4136065150371178,0.8667257449024712,-1.0312212364884592,1.8114082535731841,Non-PSR
3517,0.55041337,0.29130015,-1.3634943,0.7051567,-0.20211121,0.26420483,0.33807608,0.017778054,0.40696993,0.15694597,0.14812553,0.14976302,0.31389475,0.5792475,0.47364944,1.3885749360214694,0.28651235392511526,-0.4432027594082845,0.5968106358811243,-0.8730220284656145,1.3881120352109064,0.29071419781045793,-0.4464188849611748,0.5989759369528809,-0.8730632846397062,1.3845744506013404,0.28311452923461267,-0.44112655001358236,0.5897245597494478,-0.8742494781587864,Non-PSR
