,GLON,GLAT,PSRness
673,200.00871,-48.195717,Non-PSR
674,218.86809,-52.61416,Non-PSR
675,173.58495,-32.935448,Non-PSR
676,270.16394,-47.985695,Non-PSR
677,225.57976,-53.15856,Non-PSR
678,208.07637,-50.24437,Non-PSR
679,188.00008,-42.45632,Non-PSR
682,218.51639,-52.00879,Non-PSR
683,213.77927,-51.178276,Non-PSR
684,189.49516,-42.911102,Non-PSR
686,155.66754,-12.798774,Non-PSR
687,227.92996,-52.486996,Non-PSR
688,220.5104,-51.648666,Non-PSR
689,279.22726,-43.659233,Non-PSR
691,157.54086,-14.700953,Non-PSR
692,160.51457,-17.923107,Non-PSR
693,158.8877,-15.976742,Non-PSR
694,218.17564,-50.833595,Non-PSR
695,232.72441,-52.14906,Non-PSR
697,150.23688,-4.601059,Non-PSR
699,143.02342,4.811794,Non-PSR
700,224.53802,-50.925983,Non-PSR
701,207.3381,-47.628475,Non-PSR
702,197.46727,-44.158844,Non-PSR
703,152.09076,-6.41472,Non-PSR
704,201.93544,-45.70423,Non-PSR
705,214.40398,-49.03482,Non-PSR
706,181.55283,-35.163204,Non-PSR
707,261.75406,-48.538174,Non-PSR
708,225.32147,-50.500362,Non-PSR
709,220.84813,-49.669537,Non-PSR
710,238.17924,-50.6976,Non-PSR
711,145.8379,2.3402338,Non-PSR
712,282.79727,-40.7699,Non-PSR
713,128.353,22.098896,Non-PSR
714,152.48378,-5.379566,Non-PSR
715,130.42802,20.081562,Non-PSR
716,211.6477,-47.107773,Non-PSR
717,157.54233,-11.043866,Non-PSR
718,204.85858,-44.882915,Non-PSR
719,258.6923,-48.074566,Non-PSR
720,168.99107,-22.47995,Non-PSR
721,193.03229,-39.674877,Non-PSR
722,253.5001,-48.784058,Non-PSR
724,283.85916,-39.71781,Non-PSR
726,272.18402,-44.481396,Non-PSR
727,183.29929,-33.569138,Non-PSR
728,132.97745,17.773304,Non-PSR
729,144.37741,5.2614136,Non-PSR
730,229.76392,-49.098835,Non-PSR
732,192.62732,-38.837822,Non-PSR
734,222.89027,-48.244083,Non-PSR
735,150.4005,-1.5903108,Non-PSR
737,158.22192,-10.21792,Non-PSR
738,264.0165,-46.330727,Non-PSR
739,186.04407,-34.498848,Non-PSR
740,171.45291,-23.247892,Non-PSR
741,215.0146,-46.204697,Non-PSR
742,223.071,-47.68402,Non-PSR
743,166.65242,-18.650715,Non-PSR
744,231.24184,-48.542416,Non-PSR
746,141.75363,8.930928,Non-PSR
747,168.05563,-19.592503,Non-PSR
748,220.8108,-46.963497,Non-PSR
749,237.74768,-48.48257,Non-PSR
750,210.81894,-44.57977,Non-PSR
751,209.20099,-44.082714,Non-PSR
752,205.78731,-42.632233,Non-PSR
754,263.9988,-45.566956,Non-PSR
756,241.28423,-47.876785,Non-PSR
757,183.88928,-31.141087,Non-PSR
761,164.65375,-14.366358,Non-PSR
